NN_0,NN_1,NN_2,NN_3,NN_4,Logit_0,Logit_1,Logit_2,Logit_3,Logit_4,Xgboost_0,Xgboost_1,Xgboost_2,Xgboost_3,Xgboost_4,SVM_0,SVM_1,SVM_2,SVM_3,SVM_4,RF_0,RF_1,RF_2,RF_3,RF_4,NN,Logistic Regression,Xgboost,SVM,RF,Actual
0.025703846,0.06755049,0.60478985,0.04866052,0.25329533,0.2585626257217874,0.2615477296321764,0.11062374137097951,0.12130101479209848,0.2479648884829582,0.98497725,0.0013889569,0.0055019488,0.00037458338,0.007757227,4.267034142800746,3.1273964279786726,1.903362511406237,-0.2492025773938397,0.8131244567216579,0.46998838454949193,0.09045662296464267,0.1553891900682015,0.16933343719519986,0.1148323652224639,2,1,2,1,0,0
0.55214113,0.26573884,0.03460145,0.002081114,0.1454375,0.5297476187936796,0.19223493651578735,0.0831625786376155,0.00041899535458933383,0.19443587069832807,0.005021969,0.05491589,0.00017183748,5.14831e-05,0.9398389,2.2833540424031447,3.228853904040511,0.8304474412852753,-0.30979000643836746,4.287880965974303,0.3669545481689487,0.2000637006932426,0.05861237886056979,0.0020735171233888317,0.37229585515385,0,1,0,1,4,4
0.21861227,0.00013144851,0.046595637,0.041692752,0.6929679,0.2329116070021386,0.32889512564123197,0.12113612091192705,0.02081299540944273,0.2962441510352597,0.0021709583,0.8115371,0.0048706178,0.0009853233,0.18043603,2.137000206294529,4.272909257178211,0.7787907106676215,-0.2745168669543516,3.195926466666435,0.11370334241650831,0.4088166522694693,0.06837288191189854,0.005977244552395852,0.4031298788497281,4,4,4,4,1,1
0.9650648,0.008533097,0.007909372,0.01278717,0.0057055796,0.6891873755810299,0.04562142515285691,0.07338737135917073,0.01061677438152866,0.1811870535254138,0.87973017,0.005003782,0.00050174,0.0005122546,0.11425202,4.293773526030503,1.8101354283697826,0.7354093806992366,-0.2913205035716937,3.27465210861373,0.5943229079171295,0.09136682412917314,0.07557114434251572,0.023302025055130432,0.21543709855605114,0,0,0,0,0,0
0.27858883,0.3068775,0.00014153836,4.3296346e-05,0.41434884,0.30444657894255606,0.3096601696568806,0.11104688127537707,0.040745711777021285,0.23410065834816493,0.001291497,0.0012215807,0.01645607,0.00021320769,0.9808177,1.8034357689066227,4.271615882378406,0.736733991370584,-0.21555375468039828,3.2413466959808046,0.10269808943581035,0.1341539696461334,0.09835126739339317,0.003425542262277289,0.6613711312623859,4,1,4,1,4,4
0.0057173483,0.6250852,1.6577516e-05,4.377291e-06,0.3691765,0.196022550881888,0.3493004200079203,0.2322799479467215,0.002347080615142908,0.22005000054832738,0.003677705,0.98510367,0.0003921391,0.00020001028,0.010626413,1.9538537272205172,4.293519510109516,0.7927669785220149,-0.3101033636293961,3.295372844282823,0.20249117803581013,0.38998929825749845,0.19310165217948186,0.02069663143811384,0.19372124008909558,1,0,1,4,1,1
0.0728853,0.025345642,0.0136738,0.42269158,0.46540362,0.4733388905202364,0.023679956668645405,0.1930132668753374,0.2288827259648823,0.08108515997089845,0.95148355,0.011549296,0.023476196,0.012002589,0.001488357,4.190453118091761,3.1953904395786616,0.8934610134174463,-0.2331909206255745,2.0155515647471014,0.6153626031030877,0.11252183327676478,0.11220408749652186,0.038355485615520976,0.12155599050810481,4,3,3,3,0,0
0.43457827,0.47039574,0.05105587,0.0055030896,0.038467012,0.08256652226455177,0.2956516037594531,0.12981993465574448,0.26102997758421803,0.23093196173603273,0.00296499,0.0018268698,0.9719529,0.005891466,0.01736368,-0.27576924404138065,3.2461113519671208,0.7851631710725262,4.227163824115963,2.2071839428443276,0.1340607761633537,0.37049133678201845,0.1998312048682519,0.1431478488252368,0.15246883336113934,1,1,0,1,1,2
0.063778795,0.002757339,0.007910101,0.8942849,0.031268816,0.2954720992336462,0.36064988394141867,0.06947203775697106,0.0006494480564470163,0.2737565310115171,0.0042391066,0.98020154,0.0005580971,0.00033451733,0.014666758,2.274415313379154,4.254238219095481,0.7444097693822849,-0.2974278370219335,3.262401410257311,0.2701694061630028,0.4684178008517587,0.11481744664379107,0.004627545699592782,0.14196780064185455,3,3,3,3,1,1
0.0061514284,0.82763034,1.589206e-05,1.6655887e-06,0.16620064,0.41929752072683446,0.05270448434411763,0.05699044048179677,0.27489885938698916,0.19610869506026196,0.51760906,0.0069578346,0.001627109,0.00092016836,0.47288582,3.2317266036207415,1.911331141830718,0.8394131990125469,-0.2464383513972914,4.216269320765139,0.30528845707491103,0.08350035177422946,0.04145507565152075,0.1252647512959107,0.4444913642034281,1,0,1,4,4,0
