NN_0,NN_1,NN_2,NN_3,NN_4
0.06103701,0.016321847,0.015629677,0.6184724,0.28853908
0.32533136,0.46124828,0.1286861,0.06323605,0.021498263
0.0015704802,0.45088756,0.009965519,7.6875855e-05,0.53749955
0.5286011,0.15197803,0.15856509,0.14632721,0.0145285055
0.0047964873,0.81952226,1.4648813e-05,8.402844e-06,0.17565817
0.0035763877,0.53812814,0.003164015,1.7226238e-06,0.45512977
0.30919266,0.42094526,0.12563394,0.081256226,0.062971905
0.3327608,0.23868342,0.084568195,0.32939893,0.014588633
0.01648298,0.6231089,0.004077603,7.209628e-05,0.35625836
0.45217305,0.21798812,0.28624943,0.0044139777,0.039175346
0.72005385,0.026178353,0.027743066,0.21558702,0.0104377465
0.14256926,0.0010118152,0.010811939,0.19625886,0.6493481
0.02733531,0.007981592,0.015695333,0.9449206,0.004067173
0.11284932,0.03133029,0.058268823,0.77830446,0.019247102
0.015545866,0.0015652895,0.0021717586,0.9796071,0.0011099357
0.6418311,0.0030156078,0.0021489915,0.0011383748,0.3518659
0.06194461,0.61815864,0.0045756237,0.0003182522,0.31500286
0.056234684,0.015753355,0.013012401,0.57127804,0.34372157
0.17412794,0.18248063,0.14496939,0.47280774,0.02561428
0.13569967,0.071223214,7.736726e-05,3.5938687e-05,0.79296386
0.45165145,0.00082050834,0.051004387,0.0032166014,0.49330708
0.13793238,2.4549554e-05,0.58966416,2.3503355e-05,0.27235547
0.019013245,0.033478238,0.04938579,0.060764328,0.83735836
0.07456762,0.013385378,0.67511123,0.0068746633,0.23006111
0.4671753,0.08865835,0.27301237,0.0049282396,0.16622572
0.0072652237,0.5870908,0.0018065757,3.2871221e-06,0.40383416
0.73069435,0.015074508,8.885109e-05,2.1776045e-06,0.2541401
0.0015668363,0.83451766,7.231847e-06,7.983875e-06,0.1639003
0.14877795,0.025554616,0.08043739,0.64342743,0.10180262
0.017326482,0.49391297,0.0020748372,5.7613156e-06,0.4866799
0.39068413,0.00016817593,0.0014195687,0.0076051317,0.60012305
0.050414313,0.014099039,0.0070468537,0.74147934,0.18696044
0.03294678,0.0033873753,0.0072808582,0.9515367,0.0048481827
0.0100204535,0.61016285,0.0026437866,0.00028996536,0.37688303
0.025448993,0.15514188,3.0467409e-05,3.278569e-05,0.81934595
0.13759446,6.92948e-05,0.16535644,0.0013262352,0.6956536
0.37239388,0.36502245,0.1109408,0.08217294,0.06946991
0.15812668,0.0009578501,0.009123588,0.18905829,0.6427336
0.09614713,0.024679137,0.010708586,0.33762118,0.530844
0.36601534,0.22397819,0.17398159,0.2040676,0.031957243
0.002520764,0.5122169,1.1641734e-05,5.311783e-06,0.48524544
