household_id,person_id,LONGDIST,main_mode_of_transport,international_trip,num_people_on_long_distance_trip,person_1_on_long_distance_trip,person_2_on_long_distance_trip,person_3_on_long_distance_trip,person_4_on_long_distance_trip,person_5_on_long_distance_trip,person_6_on_long_distance_trip,person_7_on_long_distance_trip,person_8_on_long_distance_trip,person_9_on_long_distance_trip,person_10_on_long_distance_trip,reason_for_travel,num_used_amtrak_last_year,num_used_intracity_bus_last_year,long_distance_trip,begin_trip_date,ENDTRIP,num_nights_away_from_home,trip_includes_weekend,date_of_most_recent_trip,farthest_census_division_traveled,farthest_census_region_traveled,great_circle_distance_traveled,airport_size,exit_census_division,great_circle_distance_longer_than_50_miles,num_adults_in_household,own_or_rent_home,metro_rail_status,census_division,census_region,hispanic,num_drivers_in_household,household_grouping,household_income,household_income_imputed,race,household_size,num_vehicles_in_household,LIF_CYC,metro_area_category,metro_area_size,travel_day_of_week,household_urban_classification,household_urban_size,household_urban_rural,travel_day_date,WRKCOUNT,household_stratum_id,person_weight_7_day,person_weight_5_day,person_weight_2_day,respondent_age,respondent_sex,worker_status,DRIVER,respondent_race,respondent_hispanic,proxy_respondent,education_level,respondent_sex_imputed
9000147398,01,0,01,01,2,01,01,-9,-9,-9,-9,-9,-9,-9,-9,02,0,0,02,-9,-9,-9,-9,-9,02,01,60.14576583,-1,-1,01,2,03,01,02,01,02,1,21,08,08,01,2,1,10,01,05,02,01,04,01,202210,0,1023,28745.249136,46785.52738,0,75,02,02,02,01,02,01,03,02
9000147398,02,0,01,01,2,01,01,-9,-9,-9,-9,-9,-9,-9,-9,02,0,0,02,-9,-9,-9,-9,-9,02,01,60.14576583,-1,-1,01,2,03,01,02,01,02,1,21,08,08,01,2,1,10,01,05,02,01,04,01,202210,0,1023,15520.86979,22271.099359,0,73,01,02,01,01,02,01,08,01
9000147421,01,0,04,01,2,01,01,-9,-9,-9,-9,-9,-9,-9,-9,04,0,0,02,-9,-9,-9,-9,-9,07,03,132.1167708,-1,-1,01,2,02,02,07,03,02,2,72,07,07,01,2,2,10,02,05,01,01,05,01,202211,0,1033,2708.8409125,0,6778.26471612442,77,01,02,01,01,02,01,06,01
9000147421,02,0,04,01,2,-9,01,-9,-9,-9,-9,-9,-9,-9,-9,04,0,0,02,-9,-9,-9,-9,-9,07,03,132.1167708,-1,-1,01,2,02,02,07,03,02,2,72,07,07,01,2,2,10,02,05,01,01,05,01,202211,0,1033,2249.5703547,0,4346.79625347317,77,02,02,01,01,02,01,05,02
9000147422,01,5,02,01,2,01,01,02,02,-9,-9,-9,-9,-9,-9,01,0,0,02,202210,202210,2,03,202210,03,02,116.0712883,-1,-1,01,2,01,02,03,02,02,3,32,09,09,03,4,0,06,02,04,07,01,05,01,202210,2,1025,15900.748133,0,55887.1090171893,51,01,01,01,03,02,01,07,01
9000147422,02,2,01,01,1,02,01,02,02,-9,-9,-9,-9,-9,-9,01,0,0,02,202210,202210,1,03,202210,03,02,116.0712883,-1,-1,01,2,01,02,03,02,02,3,32,09,09,03,4,0,06,02,04,07,01,05,01,202210,2,1025,15936.525357,0,50036.8180414041,42,02,01,01,03,02,02,07,02
9000147422,03,0,02,01,4,01,01,01,01,-9,-9,-9,-9,-9,-9,02,0,0,02,-9,-9,-9,-9,-9,03,02,262.1516684,-1,-1,01,2,01,02,03,02,02,3,32,09,09,03,4,0,06,02,04,07,01,05,01,202210,2,1025,14063.449392,0,45455.2241223333,17,01,02,01,03,02,02,02,01
9000147422,04,0,02,01,4,01,01,01,01,-9,-9,-9,-9,-9,-9,02,1,2,02,-9,-9,-9,-9,-9,03,02,262.1516684,-1,-1,01,2,01,02,03,02,02,3,32,09,09,03,4,0,06,02,04,07,01,05,01,202210,2,1025,13046.431667,0,34269.4713819716,13,02,-1,-1,03,02,02,-1,02
9000147423,01,0,03,01,4,01,-9,-9,-9,-9,-9,-9,-9,-9,-9,04,0,0,02,-9,-9,-9,-9,-9,07,03,63.3892911,-1,-1,01,1,03,02,07,03,02,0,73,05,05,01,1,1,09,03,01,05,02,06,01,202211,0,1033,1832.1562622,2344.0047358,0,92,02,02,02,01,02,01,07,02
9000147439,01,0,03,01,3,01,-9,-9,-9,-9,-9,-9,-9,-9,-9,02,0,0,02,-9,-9,-9,-9,-9,04,02,145.8489273,-1,-1,01,2,03,02,03,02,02,2,33,07,07,01,2,3,07,03,02,01,01,02,01,202211,2,1025,24527.029422,0,65274.5284218814,19,01,01,01,01,02,01,02,01
9000147439,02,0,01,01,3,01,01,-9,-9,-9,-9,-9,-9,-9,-9,02,0,0,02,-9,-9,-9,-9,-9,06,03,276.4488877,-1,-1,01,2,03,02,03,02,02,2,33,07,07,01,2,3,07,03,02,01,01,02,01,202211,2,1025,7350.7209639,0,12396.1374964966,44,01,01,01,01,02,01,05,01
9000147444,01,3,03,01,2,01,02,-9,-9,-9,-9,-9,-9,-9,-9,04,0,0,02,202210,202210,0,03,202210,07,03,30.56755022,-1,-1,02,2,03,02,07,03,02,1,73,06,06,04,2,1,02,03,02,07,02,06,01,202211,2,1033,9659.3189512,0,41116.4254085867,28,01,01,01,04,02,01,04,01
9000147444,02,1,21,01,2,01,01,-9,-9,-9,-9,-9,-9,-9,-9,04,0,0,02,202210,202210,0,03,202210,07,03,21.04150338,-1,-1,02,2,03,02,07,03,02,1,73,06,06,04,2,1,02,03,02,07,02,06,01,202211,2,1033,5404.5719571,0,15617.1469459389,36,02,01,02,06,01,01,06,02
9000147450,01,0,01,01,3,01,-9,-9,-9,-9,-9,-9,-9,-9,-9,03,0,0,02,-9,-9,-9,-9,-9,04,02,173.3196297,-1,-1,01,1,02,02,04,02,02,1,43,06,06,01,1,1,01,03,03,06,01,03,01,202211,1,1027,5476.7636067,6821.5752509,0,64,02,01,01,01,02,01,06,02
9000147463,01,30,01,01,3,01,-9,-9,-9,-9,-1,-1,-1,-1,-1,01,0,0,01,-9,202210,-9,-9,202210,04,02,67.8796709926358,-1,-1,01,1,01,02,04,02,02,1,42,05,05,01,5,2,03,02,05,04,02,06,01,202210,1,1027,97472.68446,154929.03822,0,30,02,01,01,01,02,01,03,02
9000147463,02,4,01,01,3,-9,01,01,-9,-9,-9,-9,-9,-9,-9,03,0,0,02,202210,202210,2,01,202210,04,02,39.23541484,-1,-1,02,1,01,02,04,02,02,1,42,05,05,01,5,2,03,02,05,04,02,06,01,202210,1,1027,25979.559497,43952.894283,0,12,01,-1,-1,01,01,02,-1,01
9000147463,03,4,01,01,3,-9,01,01,-9,-9,-9,-9,-9,-9,-9,03,0,0,02,202210,202210,2,01,202210,04,02,39.23541484,-1,-1,02,1,01,02,04,02,02,1,42,05,05,01,5,2,03,02,05,04,02,06,01,202210,1,1027,26038.01439,45443.808257,0,9,02,-1,-1,01,01,02,-1,02
9000147469,01,0,01,01,4,01,-9,01,-9,-9,-9,-9,-9,-9,-9,03,0,0,02,-9,-9,-9,-9,-9,09,04,108.5242173,-1,-1,01,4,01,02,09,04,01,4,93,08,08,97,4,5,02,03,02,04,01,01,01,202211,3,1037,22907.541544,33338.848401,0,22,01,01,01,97,01,01,04,01
9000147469,02,0,01,01,2,02,01,01,02,-9,-9,-9,-9,-9,-9,03,0,0,02,-9,-9,-9,-9,-9,09,04,108.5242173,-1,-1,01,4,01,02,09,04,01,4,93,08,08,97,4,5,02,03,02,04,01,01,01,202211,3,1037,10087.668405,15860.836644,0,54,01,01,01,97,01,01,06,01
9000147469,03,0,01,01,4,01,-9,01,-9,-9,-9,-9,-9,-9,-9,03,0,0,02,-9,-9,-9,-9,-9,09,04,108.5242173,-1,-1,01,4,01,02,09,04,01,4,93,08,08,97,4,5,02,03,02,04,01,01,01,202211,3,1037,14857.311942,21923.39825,0,50,02,01,01,97,01,01,07,02
9000147469,04,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,03,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,01,02,09,04,01,4,93,08,08,97,4,5,02,03,02,04,01,01,01,202211,3,1037,6956.2109742,10641.787239,0,28,02,02,01,97,01,01,05,02
9000147474,01,0,03,01,2,01,01,-9,-9,-9,-9,-9,-9,-9,-9,04,0,0,02,-9,-9,-9,-9,-9,04,02,51.21459206,-1,-1,01,2,04,02,04,02,02,1,43,03,03,01,2,1,10,03,02,01,01,02,01,202211,0,1027,2136.5928542,0,7442.36200469375,68,02,02,02,01,02,01,05,02
9000147474,02,0,03,01,2,01,01,-9,-9,-9,-9,-9,-9,-9,-9,04,0,0,02,-9,-9,-9,-9,-9,04,02,51.21459206,-1,-1,01,2,04,02,04,02,02,1,43,03,03,01,2,1,10,03,02,01,01,02,01,202211,0,1027,1687.1183717,0,6384.22550903994,54,01,02,01,01,02,01,02,01
9000147480,01,1,01,01,2,01,01,-9,-9,-9,-9,-9,-9,-9,-9,03,0,0,02,202211,202211,3,02,202211,05,03,304.2576557,-1,-1,01,2,01,02,03,02,02,2,32,09,09,01,2,1,10,02,04,01,01,05,01,202212,1,1025,5980.3658982,0,20815.5080570842,63,01,01,01,01,02,01,07,01
9000147480,02,1,01,01,2,01,01,-9,-9,-9,-9,-9,-9,-9,-9,03,0,0,02,202211,202211,3,02,202211,05,03,304.2576557,-1,-1,01,2,01,02,03,02,02,2,32,09,09,01,2,1,10,02,04,01,01,05,01,202212,1,1025,4492.6020561,0,13837.2510844029,66,02,02,01,01,02,01,07,02
9000147484,01,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,04,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,03,02,05,03,02,1,53,05,05,02,1,1,01,03,03,06,02,06,01,202211,1,1030,8621.0105608,12647.276868,0,28,01,01,01,02,02,01,04,01
9000147504,01,0,04,01,1,01,-9,-9,-9,-9,-9,-9,-9,-9,-9,04,0,0,02,-9,-9,-9,-9,-9,03,02,1128.84656,-1,-1,01,1,01,01,05,03,02,1,51,10,10,01,1,1,09,01,05,06,01,04,01,202211,1,1029,5769.8650717,8062.0163715,0,65,01,01,01,01,02,01,06,01
9000147508,01,0,03,01,2,01,01,02,02,02,-9,-9,-9,-9,-9,04,0,0,02,-9,-9,-9,-9,-9,06,03,45.72977709,-1,-1,02,3,03,02,06,03,01,3,62,05,05,01,5,2,06,02,04,07,01,03,01,202210,2,1031,42615.188293,0,173454.931960392,41,01,01,01,01,01,01,04,01
